source_path,source_full_url,parsed_name,parsed_city,parsed_specialty
/frauenarzt/landau/frauenarztpraxis-natalya-klassen-landau,https://rzte-online.vercel.app/frauenarzt/landau/frauenarztpraxis-natalya-klassen-landau,natalya klassen landau,landau,frauenarzt
/hausarzt/castrop-rauxel/andrey-nefedev-julia-carolin-nefedev-castrop-rauxel,https://rzte-online.vercel.app/hausarzt/castrop-rauxel/andrey-nefedev-julia-carolin-nefedev-castrop-rauxel,andrey nefedev julia carolin nefedev castrop rauxel,castrop-rauxel,hausarzt
/hausarzt/weimar/dr-med-heiko-filz-weimar,https://rzte-online.vercel.app/hausarzt/weimar/dr-med-heiko-filz-weimar,heiko filz weimar,weimar,hausarzt
/hausarzt/leipzig/frau-dr-med-katja-khn-leipzig,https://rzte-online.vercel.app/hausarzt/leipzig/frau-dr-med-katja-khn-leipzig,katja khn leipzig,leipzig,hausarzt
/hno-arzt/lorsch/hno-praxis-lorsch-dr-med-sabine-weiss-lorsch,https://rzte-online.vercel.app/hno-arzt/lorsch/hno-praxis-lorsch-dr-med-sabine-weiss-lorsch,hno lorsch sabine weiss lorsch,lorsch,hno-arzt
/hausarzt/frankenthal/dr-med-duc-chung-bui-facharzt-fuer-allgemeinmedizin-notfallmedizin,https://rzte-online.vercel.app/hausarzt/frankenthal/dr-med-duc-chung-bui-facharzt-fuer-allgemeinmedizin-notfallmedizin,duc chung bui,frankenthal,hausarzt
/hausarzt/pattensen/frau-claudia-timm-pattensen,https://rzte-online.vercel.app/hausarzt/pattensen/frau-claudia-timm-pattensen,claudia timm pattensen,pattensen,hausarzt
/arzt/korbach/herr-walter-brggemann-korbach,https://rzte-online.vercel.app/arzt/korbach/herr-walter-brggemann-korbach,walter brggemann korbach,korbach,arzt
/hausarzt/offenbach/dr-med-r-kappus-offenbach,https://rzte-online.vercel.app/hausarzt/offenbach/dr-med-r-kappus-offenbach,kappus offenbach,offenbach,hausarzt
/hausarzt/eisenach/gemeinschaftspraxis-dr-med-katja-heim-dr-med-univ-neusatz-aleksandar-griesser-aleksic-eisenach,https://rzte-online.vercel.app/hausarzt/eisenach/gemeinschaftspraxis-dr-med-katja-heim-dr-med-univ-neusatz-aleksandar-griesser-aleksic-eisenach,katja heim neusatz aleksandar griesser aleksic eisenach,eisenach,hausarzt
/hausarzt/homberg/drsmed-volker-dittschar-und-andr-otto-homberg,https://rzte-online.vercel.app/hausarzt/homberg/drsmed-volker-dittschar-und-andr-otto-homberg,volker dittschar andr otto homberg,homberg,hausarzt
/hausarzt/erkelenz/praxis-dr-beate-abuzahra-2652,https://rzte-online.vercel.app/hausarzt/erkelenz/praxis-dr-beate-abuzahra-2652,beate abuzahra,erkelenz,hausarzt
/augenarzt/neutraubling/drmed-bernhard-roesen-neutraubling,https://rzte-online.vercel.app/augenarzt/neutraubling/drmed-bernhard-roesen-neutraubling,bernhard roesen neutraubling,neutraubling,augenarzt
/hausarzt/hagen/dr-med-m-farsab-hagen,https://rzte-online.vercel.app/hausarzt/hagen/dr-med-m-farsab-hagen,farsab hagen,hagen,hausarzt
/hausarzt/pinneberg/frau-dr-med-mechthild-tammen-pinneberg,https://rzte-online.vercel.app/hausarzt/pinneberg/frau-dr-med-mechthild-tammen-pinneberg,mechthild tammen pinneberg,pinneberg,hausarzt
/frauenarzt/oberndorf/ildiko-husar-fachrztin-fr-frauenheilkunde-und-geburtshilfe-oberndorf,https://rzte-online.vercel.app/frauenarzt/oberndorf/ildiko-husar-fachrztin-fr-frauenheilkunde-und-geburtshilfe-oberndorf,ildiko husar oberndorf,oberndorf,frauenarzt
/hausarzt/landau/praxis-dr-manfred-lehmann-landau,https://rzte-online.vercel.app/hausarzt/landau/praxis-dr-manfred-lehmann-landau,manfred lehmann landau,landau,hausarzt
/hausarzt/troisdorf/dr-heeg-troisdorf,https://rzte-online.vercel.app/hausarzt/troisdorf/dr-heeg-troisdorf,heeg troisdorf,troisdorf,hausarzt
/hausarzt/esslingen-am-neckar/herr-dr-imf-klausenburg-roland-henrich,https://rzte-online.vercel.app/hausarzt/esslingen-am-neckar/herr-dr-imf-klausenburg-roland-henrich,klausenburg roland henrich,esslingen-am-neckar,hausarzt
/hausarzt/erfurt/praxis-fr-allgemeinmedizin-wolfgang-arand-erfurt,https://rzte-online.vercel.app/hausarzt/erfurt/praxis-fr-allgemeinmedizin-wolfgang-arand-erfurt,wolfgang arand erfurt,erfurt,hausarzt
/hausarzt/ravensburg/dr-med-ingrid-schubert-ravensburg,https://rzte-online.vercel.app/hausarzt/ravensburg/dr-med-ingrid-schubert-ravensburg,ingrid schubert ravensburg,ravensburg,hausarzt
/hausarzt/crailsheim/herr-dr-gerhard-slavetinsky,https://rzte-online.vercel.app/hausarzt/crailsheim/herr-dr-gerhard-slavetinsky,gerhard slavetinsky,crailsheim,hausarzt
/hausarzt/hueckelhoven/hausarztpraxis-baal-hckelhoven,https://rzte-online.vercel.app/hausarzt/hueckelhoven/hausarztpraxis-baal-hckelhoven,baal hueckelhoven,hueckelhoven,hausarzt
/hausarzt/holzgerlingen/dr-med-annemarie-trost-holzgerlingen,https://rzte-online.vercel.app/hausarzt/holzgerlingen/dr-med-annemarie-trost-holzgerlingen,annemarie trost holzgerlingen,holzgerlingen,hausarzt
/hausarzt/delitzsch/dr-med-gerald-eckhardt-delitzsch,https://rzte-online.vercel.app/hausarzt/delitzsch/dr-med-gerald-eckhardt-delitzsch,gerald eckhardt delitzsch,delitzsch,hausarzt
/arzt/backnang/martina-aggensteiner-backnang,https://rzte-online.vercel.app/arzt/backnang/martina-aggensteiner-backnang,martina aggensteiner backnang,backnang,arzt
